pub_date	title	venue	excerpt	citation	url_slug	paper_url	slides_url	category
2025-01-01	One-class graph autoencoder: a new end-to-end, low-dimensional, and interpretable approach for node classification.	Information Sciences		"Golo, Marcos Paulo Silva, et al. ""One-class graph autoencoder: A new end-to-end, low-dimensional, and interpretable approach for node classification."" Information Sciences 708 (2025): 122060."	Jrnl.2024.1	https://diegofurts.github.io/files/Jrnl.2025.1		manuscripts
2024-01-01	Artist similarity based on heterogeneous graph neural networks.	IEEE/ACM Transactions on Audio, Speech, and Language Processing		"da Silva, Angelo Cesar Mendes, Diego Furtado Silva, and Ricardo Marcondes Marcacini. ""Artist similarity based on heterogeneous graph neural networks."" IEEE/ACM Transactions on Audio, Speech, and Language Processing 32 (2024): 3717-3729."	Jrnl.2024.1	https://diegofurts.github.io/files/Jrnl.2024.1		manuscripts
2024-01-01	Unsupervised feature based algorithms for time series extrinsic regression.	Data Mining and Knowledge Discovery		"Guijo-Rubio, David, et al. ""Unsupervised feature based algorithms for time series extrinsic regression."" Data Mining and Knowledge Discovery 38.4 (2024): 2141-2185."	Jrnl.2024.2	https://diegofurts.github.io/files/Jrnl.2024.2		manuscripts
2022-01-02	Multimodal representation learning over heterogeneous networks for tag-based music retrieval.	Expert Systems with Applications		"Da Silva, A. C. M., et al. ""Multimodal representation learning over heterogeneous networks for tag-based music retrieval."" Expert Systems with Applications, vol. 207, 2022, p. 117969."	Jrnl.2022.1	https://diegofurts.github.io/files/Jrnl.2022.1		manuscripts
2022-01-01	Smartphone-Based Screening for Cardiovascular Diseases: A Trend?	International Journal of Cardiovascular Science		"Mazzu-Nascimento, T., et al. ""Smartphone-Based Screening for Cardiovascular Diseases: A Trend?"" International Journal of Cardiovascular Science, vol. 35, no. 1, 2022, pp. 127-134."	Jrnl.2022.2	https://diegofurts.github.io/files/Jrnl.2022.2		manuscripts
2021-01-01	Remote and non-invasive monitoring of patients with COVID-19 by smartphone.	Scientia Medica		"Mazzu-Nascimento, T., et al. ""Remote and non-invasive monitoring of patients with COVID-19 by smartphone."" Scientia Medica, vol. 31, no. 1, 2021, p. e39340."	Jrnl.2021.1	https://diegofurts.github.io/files/Jrnl.2021.1		manuscripts
2021-01-01	Smartphone-based photo analysis for the evaluation of anemia, jaundice and COVID-19.	International Journal of Nutrology		"Mazzu-Nascimento, T., et al. ""Smartphone-based photo analysis for the evaluation of anemia, jaundice and COVID-19."" International Journal of Nutrology, vol. 14, no. 2, 2021, pp. 55-60."	Jrnl.2021.2	https://diegofurts.github.io/files/Jrnl.2021.2		manuscripts
2020-01-02	The Swiss army knife of time series data mining: ten useful things you can do with the matrix profile and ten lines of code.	Data Mining and Knowledge Discovery		"Zhu, Y., et al. ""The Swiss army knife of time series data mining: ten useful things you can do with the matrix profile and ten lines of code."" Data Mining and Knowledge Discovery, vol. 34, no. 1, 2020, pp. 949-979."	Jrnl.2020.1	https://diegofurts.github.io/files/Jrnl.2020.1		manuscripts
2020-01-01	Noninvasive Self-monitoring of Blood Glucose at Your Fingertips, Literally!: Smartphone-Based Photoplethysmography.	International Journal of Nutrology		"Mazzu-Nascimento, T., et al. ""Noninvasive Self-monitoring of Blood Glucose at Your Fingertips, Literally!: Smartphone-Based Photoplethysmography."" International Journal of Nutrology, vol. 13, no. 2, 2020, pp. 48-52."	Jrnl.2020.2	https://diegofurts.github.io/files/Jrnl.2020.2		manuscripts
2020-01-01	Mobile Health (mHealth) and Advances in Noninvasive Diagnosis of Anemia: An Overview.	International Journal of Nutrology		"Mazzu-Nascimento, T., et al. ""Mobile Health (mHealth) and Advances in Noninvasive Diagnosis of Anemia: An Overview."" International Journal of Nutrology, vol. 13, no. 2, 2020, pp. 42-47."	Jrnl.2020.3	https://diegofurts.github.io/files/Jrnl.2020.3		manuscripts
2019-01-01	Fast similarity matrix profile for music analysis and exploration.	IEEE Transactions on Multimedia		"Silva, D. F., et al. ""Fast similarity matrix profile for music analysis and exploration."" IEEE Transactions on Multimedia, vol. 21, no. 1, 2019, pp. 29-38."	Jrnl.2019.1	https://diegofurts.github.io/files/Jrnl.2019.1		manuscripts
2018-01-03	Speeding up similarity search under dynamic time warping by pruning unpromising alignments.	Data Mining and Knowledge Discovery		"Silva, D. F., et al. ""Speeding up similarity search under dynamic time warping by pruning unpromising alignments."" Data Mining and Knowledge Discovery, vol. 32, 2018, pp. 988-1016."	Jrnl.2018.1	https://diegofurts.github.io/files/Jrnl.2018.1		manuscripts
2018-01-02	Time Series Joins, Motifs, Discords and Shapelets: a Unifying View that Exploits the Matrix Profile.	Data Mining and Knowledge Discovery		"Yeh, C. M., et al. ""Time Series Joins, Motifs, Discords and Shapelets: a Unifying View that Exploits the Matrix Profile."" Data Mining and Knowledge Discovery, vol. 32, 2018, pp. 83-123."	Jrnl.2018.2	https://diegofurts.github.io/files/Jrnl.2018.2		manuscripts
2018-01-01	Optimizing Dynamic Time Warping's Window Width For Time Series Data Mining Applications.	Data Mining and Knowledge Discovery		"Dau, H. A., et al. ""Optimizing Dynamic Time Warping's Window Width For Time Series Data Mining Applications."" Data Mining and Knowledge Discovery, vol. 32, 2018, pp. 1074-1120."	Jrnl.2018.3	https://diegofurts.github.io/files/Jrnl.2018.3		manuscripts
2017-01-01	Improved assessment of accuracy and performance indicators in paper-based ELISA.	Analytical methods		"Mazzu-Nascimento, T., et al. ""Improved assessment of accuracy and performance indicators in paper-based ELISA."" Analytical methods, vol. 9, no. 1, 2017, pp. 2644-2653."	Jrnl.2017.1	https://diegofurts.github.io/files/Jrnl.2017.1		manuscripts
2015-01-01	Exploring Low Cost Laser Sensors to Identify Flying Insect Species.	Journal of Intelligent & Robotic Systems		"Silva, D. F., et al. ""Exploring Low Cost Laser Sensors to Identify Flying Insect Species."" Journal of Intelligent & Robotic Systems, vol. 80, no. 1, 2015, pp. 313-330."	Jrnl.2015.1	https://diegofurts.github.io/files/Jrnl.2015.1		manuscripts
2015-01-03	Class imbalance revisited: a new experimental setup to assess the performance of treatment methods.	Knowledge and Information Systems		"Prati, R. C., et al. ""Class imbalance revisited: a new experimental setup to assess the performance of treatment methods."" Knowledge and Information Systems, vol. 45, no. 1, 2015, pp. 247-270."	Jrnl.2015.2	https://diegofurts.github.io/files/Jrnl.2015.2		manuscripts
2013-01-01	A comparative study between MFCC and LSF coefficients in automatic recognition of isolated digits pronounced in Portuguese and English.	Acta Scientiarum Technology		"Silva, D. F., et al. ""A comparative study between MFCC and LSF coefficients in automatic recognition of isolated digits pronounced in Portuguese and English."" Acta Scientiarum Technology, vol. 35, no. 4, 2013, pp. 621-628."	Jrnl.2013.1	https://diegofurts.github.io/files/Jrnl.2013.1		manuscripts
2025-01-08	Match: A Maximum-Likelihood Approach for Classification under Label Shift	31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining		"Donyavi, Zahra, et al. ""Match: A Maximum-Likelihood Approach for Classification under Label Shift."" Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V. 2. 2025."	Conf.2025.1	https://dl.acm.org/doi/pdf/10.1145/3711896.3737040		conferences
2025-01-07	Local LLM Ensembles for Zero-shot Portuguese Named Entity Recognition	27th Iberoamerican Congress on Pattern Recognition		"Sarcinelli, João Lucas Luz Lima, and Diego Furtado Silva. ""Local LLM Ensembles for Zero-shot Portuguese Named Entity Recognition."" 27th Iberoamerican Congress on Pattern Recognition (2025)."	Conf.2025.2	https://arxiv.org/pdf/2512.10043		conferences
2025-01-06	MariNER: A Dataset for Historical Brazilian Portuguese Named Entity Recognition	Brazilian Conference on Intelligent Systems		"Sarcinelli, João Lucas Luz Lima, et al. ""MariNER: A Dataset for Historical Brazilian Portuguese Named Entity Recognition."" Brazilian Conference on Intelligent Systems. Cham: Springer Nature Switzerland, 2025."	Conf.2025.3	https://link.springer.com/chapter/10.1007/978-3-032-15993-9_25		conferences
2025-01-05	Exploring Data-Oriented Strategies for Training ECG Self-supervised Models	Brazilian Conference on Intelligent Systems		"Silva, Rafael da Costa, Adilson Medronha, and Diego Furtado Silva. ""Exploring Data-Oriented Strategies for Training ECG Self-supervised Models."" Brazilian Conference on Intelligent Systems. Cham: Springer Nature Switzerland, 2025."	Conf.2025.4	https://link.springer.com/chapter/10.1007/978-3-032-15990-8_15		conferences
